0 0.00053
5 0.00095
10 0.00148
15 0.00208
20 0.00271
25 0.0034
30 0.00405
35 0.00473
40 0.00538
45 0.00598
50 0.00649
55 0.00696
60 0.00745
65 0.00781
70 0.00824
75 0.00856
80 0.00884
85 0.00907
90 0.00923
95 0.00934
100 0.0094
105 0.0094
110 0.00938
115 0.0093
120 0.00917
125 0.00899
130 0.00871
135 0.00842
140 0.00806
145 0.00764
150 0.00724
155 0.00672
160 0.00628
165 0.00574
170 0.00511
175 0.00449
180 0.00381
185 0.00313
190 0.00249
195 0.00189
200 0.00129
205 0.00079
210 0.00048
215 0.00024
220 9e-05
225 1e-05
228 0
709 0
712 0.0001
715 0.00023
720 0.00053
